Id,MSZoning,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice,OverallQual_binned,Normalized_OverallQual,Normalized_SalePrice
11,RL,11200,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,1,0,3,TA,5,Typ,0,1,384,Y,0,0,0,0,2,2008,WD,Normal,129500,Medium,0.020923433,0.017153096
12,RL,11924,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,177,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,1,3,0,4,Ex,11,Typ,2,3,736,Y,147,21,0,0,7,2006,New,Partial,345000,High,0.037662179,0.045697436
13,RL,12968,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,175,912,GasA,TA,Y,SBrkr,912,0,912,1,1,0,2,TA,4,Typ,0,1,352,Y,140,0,176,0,9,2008,WD,Normal,144000,Medium,0.020923433,0.019073713
14,RL,10652,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,0,2,0,3,Gd,7,Typ,1,3,840,Y,160,33,0,0,8,2007,New,Partial,279500,Medium,0.029292806,0.037021546
15,RL,10920,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,1,1,2,TA,5,Typ,1,1,352,Y,0,213,0,0,5,2008,WD,Normal,157000,Medium,0.025108119,0.020795645
16,RM,6120,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,832,832,GasA,Ex,Y,FuseA,854,0,854,0,1,0,2,TA,5,Typ,0,2,576,Y,48,112,0,0,7,2007,WD,Normal,132000,Medium,0.029292806,0.017484236
17,RL,11241,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,1,0,2,TA,5,Typ,1,2,480,Y,0,0,0,0,3,2010,WD,Normal,149000,Medium,0.025108119,0.019735994
18,RL,10791,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,TA,TA,No,Unf,0,Unf,0,0,GasA,TA,Y,SBrkr,1296,0,1296,0,2,0,2,TA,6,Typ,0,2,516,Y,0,0,0,0,10,2006,WD,Normal,90000,Low,0.016738746,0.01192107
19,RL,13695,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,1,1,3,Gd,6,Typ,0,2,576,Y,0,102,0,0,6,2008,WD,Normal,159000,Medium,0.020923433,0.021060558
20,RL,7560,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,0,1,0,3,TA,6,Min1,0,1,294,Y,0,0,0,0,5,2009,COD,Abnorml,139000,Medium,0.020923433,0.018411431
21,RL,14215,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,0,3,1,4,Gd,9,Typ,1,3,853,Y,240,154,0,0,11,2006,New,Partial,325300,High,0.033477492,0.043088046
22,RM,7449,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,637,637,GasA,Ex,Y,FuseF,1108,0,1108,0,1,0,3,Gd,6,Typ,1,1,280,N,0,0,0,0,6,2007,WD,Normal,139400,Medium,0.029292806,0.018464413
23,RL,9742,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,0,2,0,3,Gd,7,Typ,1,2,534,Y,171,159,0,0,9,2008,WD,Normal,230000,High,0.033477492,0.030464958
24,RM,4224,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,1,0,3,TA,6,Typ,1,2,572,Y,100,110,0,0,6,2007,WD,Normal,129900,Medium,0.020923433,0.017206078
25,RL,8246,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,1,0,3,Gd,6,Typ,1,1,270,Y,406,90,0,0,5,2010,WD,Normal,154000,Medium,0.020923433,0.020398276
26,RL,14230,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,0,2,0,3,Gd,7,Typ,1,3,890,Y,0,56,0,0,7,2009,WD,Normal,256300,High,0.033477492,0.033948559
27,RL,7200,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,180,900,GasA,TA,Y,SBrkr,900,0,900,0,1,0,3,Gd,5,Typ,0,2,576,Y,222,32,0,0,5,2010,WD,Normal,134800,Medium,0.020923433,0.017855114
28,RL,11478,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,1,2,0,3,Gd,7,Typ,1,3,772,Y,0,50,0,0,5,2010,WD,Normal,306000,High,0.033477492,0.040531639
29,RL,16321,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,1,0,2,TA,6,Typ,2,1,319,Y,288,258,0,0,12,2006,WD,Normal,207500,Medium,0.020923433,0.02748469
30,RM,6324,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,GasA,Fa,N,SBrkr,520,0,520,0,1,0,1,Fa,4,Typ,0,1,240,Y,49,0,0,0,5,2008,WD,Normal,68500,Low,0.016738746,0.009073259
31,C (all),8500,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,GasA,TA,N,SBrkr,649,668,1317,0,1,0,3,TA,6,Typ,0,1,250,N,0,54,0,0,7,2008,WD,Normal,40000,Low,0.016738746,0.005298253
32,RL,8544,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,0,1,1,3,Gd,6,Typ,0,1,271,Y,0,65,0,0,6,2008,WD,Normal,149350,Medium,0.020923433,0.019782354
33,RL,11049,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,0,2,0,3,Gd,7,Typ,0,2,484,Y,0,30,0,0,1,2008,WD,Normal,179900,High,0.033477492,0.023828895
34,RL,10552,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,0,1,1,4,Gd,6,Typ,1,2,447,Y,0,38,0,0,4,2010,WD,Normal,165500,Medium,0.020923433,0.021921524
35,RL,7313,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,1,2,0,2,Ex,6,Typ,1,2,556,Y,203,47,0,0,8,2007,WD,Normal,277500,High,0.037662179,0.036756634
36,RL,13418,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,0,3,1,4,Gd,9,Typ,1,3,691,Y,113,32,0,0,9,2006,WD,Normal,309000,High,0.033477492,0.040929008
37,RL,10859,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,0,1,1,3,TA,6,Typ,0,2,672,Y,392,64,0,0,6,2009,WD,Normal,145000,Medium,0.020923433,0.019206169
38,RL,8532,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,0,1,0,3,TA,5,Typ,1,2,498,Y,0,0,0,0,10,2009,WD,Normal,153000,Medium,0.020923433,0.02026582
39,RL,7922,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,1,0,3,Gd,5,Typ,0,1,246,Y,0,52,0,0,1,2010,WD,Abnorml,109000,Medium,0.020923433,0.014437741
40,RL,6040,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,0,GasA,TA,N,FuseP,1152,0,1152,0,2,0,2,Fa,6,Typ,0,0,0,N,0,0,0,0,6,2008,WD,AdjLand,82000,Low,0.016738746,0.01086142
41,RL,8658,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,0,2,0,3,TA,6,Typ,1,2,440,Y,0,138,0,0,12,2006,WD,Abnorml,160000,Medium,0.025108119,0.021193014
42,RL,16905,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,383,1350,GasA,Gd,Y,SBrkr,1328,0,1328,0,1,1,2,TA,5,Typ,2,1,308,P,0,104,0,0,7,2007,WD,Normal,170000,Medium,0.020923433,0.022517577
43,RL,9180,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,0,840,GasA,Gd,Y,SBrkr,884,0,884,1,1,0,2,Gd,5,Typ,0,2,504,Y,240,0,0,0,12,2007,WD,Normal,144000,Medium,0.020923433,0.019073713
44,RL,9200,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,167,938,GasA,TA,Y,SBrkr,938,0,938,1,1,0,3,TA,5,Typ,0,1,308,Y,145,0,0,0,7,2008,WD,Normal,130250,Medium,0.020923433,0.017252438
45,RL,7945,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,465,1150,GasA,Ex,Y,FuseA,1150,0,1150,1,1,0,3,TA,6,Typ,0,1,300,Y,0,0,0,0,5,2006,WD,Normal,141000,Medium,0.020923433,0.018676344
46,RL,7658,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,1,2,0,2,Ex,6,Typ,1,2,576,Y,196,82,0,0,2,2010,WD,Normal,319900,High,0.037662179,0.042372782
47,RL,12822,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,83,1434,GasA,Ex,Y,SBrkr,1518,631,2149,1,1,1,1,Gd,6,Typ,1,2,670,Y,168,43,198,0,8,2009,WD,Abnorml,239686,Medium,0.029292806,0.03174793
48,FV,11096,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,1632,1656,GasA,Ex,Y,SBrkr,1656,0,1656,0,2,0,3,Gd,7,Typ,0,3,826,Y,0,146,0,0,7,2007,WD,Normal,249700,High,0.033477492,0.033074347
49,RM,4456,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,736,736,GasA,Gd,Y,SBrkr,736,716,1452,0,2,0,2,TA,8,Typ,0,0,0,N,0,0,0,0,6,2009,New,Partial,113000,Low,0.016738746,0.014967566
50,RL,7742,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,192,955,GasA,Ex,Y,SBrkr,955,0,955,1,1,0,3,TA,6,Typ,0,1,386,Y,0,0,0,0,1,2007,WD,Normal,127000,Medium,0.020923433,0.016821955
51,RL,13869,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,612,794,GasA,Gd,Y,SBrkr,794,676,1470,0,2,0,3,TA,6,Typ,0,2,388,Y,0,75,0,0,7,2007,WD,Normal,177000,Medium,0.025108119,0.023444772
52,RM,6240,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,816,816,GasA,TA,Y,SBrkr,816,0,1176,0,1,0,3,TA,6,Typ,1,2,528,Y,112,0,0,0,9,2006,WD,Normal,114500,Medium,0.025108119,0.015166251
53,RM,8472,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,0,816,GasA,TA,N,SBrkr,816,0,816,1,1,0,2,TA,5,Typ,0,2,516,Y,106,0,0,0,5,2010,WD,Normal,110000,Medium,0.020923433,0.014570197
54,RL,50271,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,32,1842,GasA,Gd,Y,SBrkr,1842,0,1842,2,0,1,0,Gd,5,Typ,1,3,894,Y,857,72,0,0,11,2006,WD,Normal,385000,High,0.037662179,0.05099569
55,RL,7134,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,384,GasA,TA,Y,SBrkr,1360,0,1360,0,1,0,3,TA,6,Min1,1,2,572,Y,0,50,0,0,2,2007,WD,Normal,130000,Medium,0.020923433,0.017219324
56,RL,10175,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,935,1425,GasA,Gd,Y,SBrkr,1425,0,1425,0,2,0,3,TA,7,Typ,1,2,576,Y,0,0,0,0,7,2008,WD,Normal,180500,Medium,0.025108119,0.023908369
57,FV,2645,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,321,970,GasA,Ex,Y,SBrkr,983,756,1739,1,2,1,3,Gd,7,Typ,0,2,480,Y,115,0,0,0,8,2009,WD,Abnorml,172500,High,0.033477492,0.022848718
58,RL,11645,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,860,860,GasA,Ex,Y,SBrkr,860,860,1720,0,2,1,3,Gd,7,Typ,0,2,565,Y,0,70,0,0,8,2006,WD,Normal,196500,Medium,0.029292806,0.02602767
59,RL,13682,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,1410,1410,GasA,Ex,Y,SBrkr,1426,1519,2945,0,3,1,3,Gd,10,Typ,1,3,641,Y,192,0,0,0,10,2006,New,Partial,438780,High,0.041846865,0.058119192
60,RL,7200,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,148,780,GasA,Ex,Y,SBrkr,780,0,780,0,1,0,2,TA,4,Typ,0,1,352,Y,196,0,0,0,1,2008,WD,Normal,124900,Medium,0.020923433,0.016543796
61,RL,13072,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,217,1158,GasA,Ex,Y,SBrkr,1158,0,1158,1,1,1,3,Gd,5,Typ,0,2,576,Y,0,50,0,0,5,2006,New,Partial,158000,Medium,0.025108119,0.020928101
